url;categoria;subcategoria
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBMpQji6FmSQJEW_K9VOJ9vAa2Z7dlpGZ2p8IgX4t5MIWI;Quinta de Mutis;Salón 117
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDPyOPP0L7AT6WlXe7t_cg2AadbGY8kALqJmpDslLppApE;Quinta de Mutis;Salón 111
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDSslA9cHeYTLYdOZKZ0hBMAQIDX8l7rPMpn44aqOy-MME;Quinta de Mutis;Salón 112
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBwTrEJw8F6Sae6ZulARQuIATNoxiUq_z6GJ7_R8nBhFAY;Quinta de Mutis;Salón 113
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDzIaR_dDMjRKc94ISnJHfOAaCwtGrxBtdXRjU1mbbYYE4;Quinta de Mutis;Salón 119
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQCH9ft-xa6XT5xzhZ00sQOZAbIjEvD_uHun0EO5iBcBNsM;Quinta de Mutis;Salón 120
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQD7bkc4O1CIQbTFjLlaRTKFAcps0sr926ofBtvkZDKJr7E;Quinta de Mutis;Salón 121
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAJPZDrK3lNSYU7w07Rp9DDAfotu12IP0Wg0pBi_4HdI6g;Quinta de Mutis;Salón 122
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDU29OMIhD_Tptq8Nneoy-yAXpCTxRzc6y7JdJ7_Q42ak8;Quinta de Mutis;Salón 123
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQCi0pHw48nQQ4cUvSNNJr4aAVoo-mj1irBL9tcE_9k_6N4;Quinta de Mutis;Salón 124
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDEsbhe_tjITb3pJstCnadoAUNa1ewBGIUQuCxQ3_ePX-A;Quinta de Mutis;Salón 125
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQC9jywzhAg-QZlJE982ZMeGAZY2czaDfViI2T_bV8aJqSk;Quinta de Mutis;Salón 126
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQCHCqzOHN9tQ5RylNZKGUKsAa3TiAYIxLDBoAugDvixkiM;Quinta de Mutis;Salón 127
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQD2wl63gvufRodGXAKxDw8PASSF4J5qoMsKVcfwQA_h6uQ;Quinta de Mutis;Salón 201
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQD2wl63gvufRodGXAKxDw8PASSF4J5qoMsKVcfwQA_h6uQ;Quinta de Mutis;Salón 202
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDnpVoakiQVTYxeAapIx47CAULHWl7r4gS8omdHnXa-qDM;Quinta de Mutis;Salón 304
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQA9jkYnddo3SbtNbx6wdyqnAdWGqeLYkFwOwEkHj4s5ZS0;Quinta de Mutis;Salón 206
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQCcCisste5BQY3JFEsp7U65AYb3YwzTRadfosZfKAfWXCg;Quinta de Mutis;Salón 207
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQCLPzRZmKcWRqRH2fkRkcIzAV5ZKnVKSeYGr0rEIYd4KHc;Quinta de Mutis;Salón 129
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDyJhNcRQLjSJpJLQQTnB0LAYIm9RpKtzhdHBnp25a-gyA;Quinta de Mutis;Salón 130
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAnVaCDCfI2R4wnFmdd4wVxATaZKBg1UVQPcfwUBRFWAwQ;Quinta de Mutis;Salón 128
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDkn-N8f-QVQqxcb6XDhqtpAVL_1VVxfxe0f22cF74lv7k;Quinta de Mutis;Salón 147
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQC2slUHqx5nSqPdDzxnCKrpAc7S_qquFVtPNtUpICvDoe0;Quinta de Mutis;Salón 131
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDxct7FFUsWTpugqi4C4gWzATvQGlgGeXSKrmWVhomBc_0;Quinta de Mutis;Salón 132
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQD1pr0WkORATYCZYHIvswE_AfCQR5KnRP91OjfCXlq0qfQ;Quinta de Mutis;Salón 133
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQCieZmNmZ5uS5l7H5ZbsD-nAe2rS6HJO3C0HQkLpgMO2D8;Quinta de Mutis;Salón 134
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAa7D9VfdPKTJC0cTkwL5HFAZq0DraintPnFlnjvNY-CWs;Quinta de Mutis;Salón 146
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBOG1e1knbFSrduR4CyTnJyAT6RMHqh6kmF8WJBGfUFoqQ;Quinta de Mutis;Salón 145
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDZDWSt5RSxR5Fjcn_ZXTN2AR-oBEHWDV1DgyGuDMuBl9k;Quinta de Mutis;Salón 144
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAHudZ1hdeQRqJaxTUBE-3rAblaGGtUpnFzqJzm0aD3b9E;Quinta de Mutis;Salón 143
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQB-NsT5s_anTqTjsbL2ZqdWAXDwysxyEWjOGMmIdkWstl4;Quinta de Mutis;Salón 139
